size,number_of_threads,duration
0,1,0
0,3,0
0,5,0
0,10,0
0,25,0
0,50,0
0,100,0
0,1,0
0,3,0
0,5,0
0,10,0
0,25,0
0,50,0
0,100,0
0,1,0
0,3,0
0,5,0
0,10,0
0,25,0
0,50,0
0,100,0
0,1,0
0,3,0
0,5,0
0,10,0
0,25,0
0,50,0
0,100,0
0,1,0
0,3,0
0,5,0
0,10,0
0,25,0
0,50,0
0,100,0
0,1,0
0,3,0
0,5,0
0,10,0
0,25,0
0,50,0
0,100,0
0,1,0
0,3,0
0,5,0
0,10,0
0,25,0
0,50,0
0,100,0
